"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"8904597018","","","","","2010-02-10 15:04:36 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I just unlocked the ""Adventurer"" badge on @foursquare! http://4sq.com/bhw6Cd"
"8883163848","","","","","2010-02-10 02:31:21 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at Southeast Towers II (10 Manhattan Square Dr., Rochester). http://4sq.com/9oqkRG"
"8878941527","","","","","2010-02-10 00:42:46 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at First Unitarian Church (220 Winton Rd., Rochester). http://4sq.com/driSRr"
"8870027094","","15523823","","","2010-02-09 20:44:08 +0000","web","@talcon @millerryan Is that what you two do when I'm not working in the office?"
"8862598933","","","","","2010-02-09 17:13:47 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Lunch: Pork chops and mushroom wild rice (@ Southeast Towers II) http://4sq.com/9oqkRG"
"8839732137","","","8835204605","21279256","2010-02-09 03:56:20 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","RT @fuggirls: It's been weeks, and I still haven't accepted that the Megan Mullally ""Turn the Tub Around"" ads are for real. - J"
"8839407223","","","","","2010-02-09 03:47:18 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Wing night! (@ Matthews East End Grill) http://4sq.com/c5cmDX"
"8832915422","","","","","2010-02-09 00:53:47 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","ESSO Concert (@ Eastman School of Music) http://4sq.com/aQ3Old"
"8832914741","","","","","2010-02-09 00:53:46 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I just became the mayor of Eastman School of Music on @foursquare! http://4sq.com/aQ3Old"
"8830894036","","","8821546915","41211060","2010-02-08 23:58:28 +0000","web","RT @EastmanSchool: Rochester Philharmonic Pops conductor Jeff Tyzik leads the Eastman School Symphony Orchestra tonight in a free... htt ..."
"8830166971","","","","","2010-02-08 23:38:33 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Run + Pilates (@ Downtown Fitness Club) http://4sq.com/4E6XiE"
"8825338883","","","","","2010-02-08 21:27:03 +0000","web","I &lt;3 COLOURlovers but I am much more attached to the screenprint Spencer Hansen made for me so many years ago."
"8824696988","","","","","2010-02-08 21:08:52 +0000","web","Colored my twitter profile with Themeleon by @COLOURlovers http://colourlovers.com/themeleon/twitter Isn't it lovely?"
"8782635793","","","","","2010-02-07 22:55:56 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Dinner@home: Roasted butternut squash & spaghetti carbonara (@ Southeast Towers II) http://4sq.com/9oqkRG"
"8782635576","","","","","2010-02-07 22:55:55 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I just unlocked the ""Local"" badge on @foursquare! http://4sq.com/cDTGpH"
"8778965847","","","","","2010-02-07 21:10:37 +0000","web","Somehow I think scoring 16/20 on this wasn't so bad: http://www.ironicsans.com/helvarialquiz/"
"8764996485","","","","","2010-02-07 13:59:19 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at First Unitarian Church (220 Winton Rd., Rochester). http://4sq.com/driSRr"
"8732487360","","","","","2010-02-06 19:01:04 +0000","web","Apparently I can't link my personal FB and Twitter because I already used my account to do it for Eastman. Sigh."
"8697570510","","","","","2010-02-05 23:04:33 +0000","web","I &lt;3 designing in browser and I'm not the only one: http://designshack.co.uk/articles/css/12-killer-tips-for-designing-in-the-browser"
"8678732983","","","","","2010-02-05 14:22:32 +0000","web","Facebook, you are not exempt from usability studies! Your new homepage makes my head hurt http://bit.ly/Pdom8"
"8656454781","","","","","2010-02-05 01:12:35 +0000","web","YES new HD worked! Now to install drivers and software before shipping it off to my dad and the horrible land of dialup."
"8651269309","","15523823","","","2010-02-04 22:49:11 +0000","web","@talcon - how's that stopwatch doing?"
"8651216312","8597926140","28734466","","","2010-02-04 22:47:42 +0000","web","@reycortes I'm still not sure I'm sold on Twitter... or paying for an app for something that's free. Still giving it a try, though!"
