"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"1388228216","","","","","2009-03-25 14:39:58 +0000","<a href=""http://thecosmicmachine.com/eventbox/"" rel=""nofollow"">EventBox</a>","mmm Macheist... http://macheist.com"
"1353987477","","","","","2009-03-19 12:23:47 +0000","web","Salary freeze for the next academic year, but no reduction in benefits. That's something."
"1285534979","","7282592","","","2009-03-05 22:15:18 +0000","web","@MacHeist Yeah, I?ll take a free copy of DEVONthink! http://macheist.com/tweetblast/ #MacHeist #free"
